CF_15CM,CF_5CM,CF_1CM,RMSE,MAE,MEDAE,MAPE,R2,model,n_features,experiment
99.87348889513636,98.46780995220692,80.53134664042733,0.0169207558165617,0.0073139246998246,0.0030563000741004,26797390568.532726,0.978934683757872,MLP,66,3hr_measured_sigmoid_ffca
99.71874560540007,96.61088454507102,71.60736886513853,0.0260569770416399,0.0109740428705586,0.0047712144021987,27609427515.942726,0.950066135755441,MLP,60,6hr_measured_sigmoid_ffca
99.43701618578466,94.7079521463758,65.57353976073188,0.0366601843294172,0.0145622646455224,0.0063494235720634,63378206215.71981,0.9012414288079156,MLP,51,12hr_measured_sigmoid_ffca
98.88622585647822,89.6799661638235,52.47427040744396,0.0500866446381612,0.0215692397451486,0.0092627402520179,163454133197.8612,0.8159628363034008,MLP,58,24hr_measured_sigmoid_ffca
99.87348889513636,98.59432105707056,81.24824290132135,0.0162412237256712,0.0070487606940848,0.0031095944733619,21861750116.7517,0.980592662221897,MLP,57,3hr_perfect_prog_wls_sigmoid_ffca
99.69062016594008,96.37181830966108,72.0292504570384,0.0266812199764433,0.0112457143773391,0.0048104451379775,37271895953.52528,0.947644961599222,MLP,44,6hr_perfect_prog_wls_sigmoid_ffca
99.42294159042928,94.63757916959888,66.29134412385645,0.0367884069903856,0.0143522682673995,0.0060285741291046,60802371080.87015,0.900549384715397,MLP,52,12hr_perfect_prog_wls_sigmoid_ffca
98.84393063583816,89.63767094318342,52.26279430424362,0.0507062335954505,0.0217321436016543,0.0093462375016212,163173972849.75406,0.8113814683895786,MLP,50,24hr_perfect_prog_wls_sigmoid_ffca
99.92971605285352,98.58026426764128,81.51532190047793,0.0135064663460121,0.0066917757513534,0.0029299802689552,19779044115.710663,0.9865781633635048,MLP,64,3hr_perfect_prog_rain_sigmoid_ffca
99.80312192378004,96.77963718183096,72.67613556461819,0.0204379864226597,0.010337266061348,0.0045452697348594,30234709099.67852,0.9692798502654232,MLP,66,6hr_perfect_prog_rain_sigmoid_ffca
99.71850809289234,94.67980295566502,67.6143560872625,0.0253921307457802,0.0129591159628514,0.0056569559645652,61668429625.25416,0.952621227934571,MLP,74,12hr_perfect_prog_rain_sigmoid_ffca
99.42196531791907,90.27209925278444,55.13886930776823,0.0345559325831578,0.018727357502506,0.0085203764772415,146639698884.89737,0.9123994384774498,MLP,74,24hr_perfect_prog_rain_sigmoid_ffca
99.88754568456564,98.88951363508576,82.569581107675,0.0152177266646044,0.0063964078585923,0.0026921007187366,17570261369.18058,0.9829616307733176,MLP,54,3hr_perfect_prog_gate_sigmoid_ffca
99.7046828856701,97.11714245535089,73.337083391928,0.0239943680521437,0.010189892665849,0.0042620942163467,30377503002.627197,0.957658547898447,MLP,62,6hr_perfect_prog_gate_sigmoid_ffca
99.39479239971853,95.10204081632652,66.34764250527797,0.0352061563573691,0.013979139247945,0.0058333978943824,46706543816.325645,0.9089200598943648,MLP,72,12hr_perfect_prog_gate_sigmoid_ffca
98.6888481601579,89.83504863950374,52.36148315240378,0.0421591463538351,0.0207363361507153,0.0093495354943275,134926075163.63492,0.8696097040184613,MLP,62,24hr_perfect_prog_gate_sigmoid_ffca
99.92971605285352,98.67866179364631,81.75428732077593,0.0136604337335638,0.0067285936666895,0.002867366636753,19625788704.80643,0.9862704139079678,MLP,55,3hr_perfect_prog_all_inputs_sigmoid_ffca
99.80312192378005,97.14526789481086,74.22303473491773,0.01926258056297766,0.009516243641984034,0.003917882007122037,25069190444.627613,0.9727117269657183,MLP,77,6hr_perfect_prog_all_inputs_sigmoid_ffca
99.78888106966924,95.94651653764954,71.24560168895144,0.022042303746346026,0.011266626520390356,0.005081221101284034,29900913989.39913,0.9642974303575443,MLP,96,12hr_perfect_prog_all_inputs_sigmoid_ffca
99.61934301423939,91.82292400958691,60.76413365289722,0.029555956532224887,0.01634260023817922,0.007074488051414501,95190635789.13957,0.9359156929998416,MLP,95,24hr_perfect_prog_all_inputs_sigmoid_ffca
