,gwl,wl,rain,stgH,stgT,gate1,gate2
2017-01-05 18:00:00+00:00,,0.008,,,,,
2017-01-05 19:00:00+00:00,,0.077,,,,,
2017-01-05 20:00:00+00:00,,0.028,,,,,
2017-01-05 21:00:00+00:00,,-0.119,,,,,
2017-01-05 22:00:00+00:00,,-0.244,,,,,
2017-01-05 23:00:00+00:00,,-0.34,,,,,
2017-01-06 00:00:00+00:00,,-0.462,,,,,
2017-01-06 01:00:00+00:00,,-0.531,,,,,
2017-01-06 02:00:00+00:00,,-0.532,,,,,
2017-01-06 03:00:00+00:00,,-0.46,,,,,
2017-01-06 04:00:00+00:00,,-0.317,,,,,
2017-01-06 05:00:00+00:00,,-0.179,,,,,
2017-01-06 06:00:00+00:00,,-0.058,,,,,
2017-01-06 07:00:00+00:00,,0.046,,,,,
2017-01-06 08:00:00+00:00,,0.091,,,,,
2017-01-06 09:00:00+00:00,,0.022,,,,,
2017-01-06 10:00:00+00:00,,-0.12,,,,,
2017-01-06 11:00:00+00:00,,-0.244,,,,,
2017-01-06 12:00:00+00:00,,-0.355,,,,,
2017-01-06 13:00:00+00:00,,-0.431,,,,,
2017-01-06 14:00:00+00:00,,-0.444,,,,,
2017-01-06 15:00:00+00:00,,-0.386,,,,,
2017-01-06 16:00:00+00:00,,-0.258,,,,,
2017-01-06 17:00:00+00:00,,-0.127,,,,,
2017-01-06 18:00:00+00:00,,-0.003,,,,,
2017-01-06 19:00:00+00:00,,0.116,,,,,
2017-01-06 20:00:00+00:00,,0.168,,,,,
2017-01-06 21:00:00+00:00,,0.125,,,,,
2017-01-06 22:00:00+00:00,,-0.001,,,,,
2017-01-06 23:00:00+00:00,,-0.139,,,,,
2017-01-07 00:00:00+00:00,,-0.261,,,,,
2017-01-07 01:00:00+00:00,,-0.38,,,,,
2017-01-07 02:00:00+00:00,,-0.451,,,,,
2017-01-07 03:00:00+00:00,,-0.453,,,,,
2017-01-07 04:00:00+00:00,,-0.356,,,,,
2017-01-07 05:00:00+00:00,,-0.209,,,,,
2017-01-07 06:00:00+00:00,,-0.066,,,,,
2017-01-07 07:00:00+00:00,,0.07,,,,,
2017-01-07 08:00:00+00:00,,0.174,,,,,
2017-01-07 09:00:00+00:00,,0.189,,,,,
2017-01-07 10:00:00+00:00,,0.119,,,,,
2017-01-07 11:00:00+00:00,,-0.009,,,,,
2017-01-07 12:00:00+00:00,,-0.178,,,,,
2017-01-07 13:00:00+00:00,,-0.309,,,,,
2017-01-07 14:00:00+00:00,,-0.399,,,,,
2017-01-07 15:00:00+00:00,,-0.416,,,,,
2017-01-07 16:00:00+00:00,,-0.387,,,,,
2017-01-07 17:00:00+00:00,,-0.265,,,,,
2017-01-07 18:00:00+00:00,,-0.093,,,,,
2017-01-07 19:00:00+00:00,,0.018,,,,,
2017-01-07 20:00:00+00:00,,0.023,,,,,
2017-01-07 21:00:00+00:00,,0.1,,,,,
2017-01-07 22:00:00+00:00,,0.056,,,,,
2017-01-07 23:00:00+00:00,,-0.074,,,,,
2017-01-08 00:00:00+00:00,,-0.265,,,,,
2017-01-08 01:00:00+00:00,,-0.442,,,,,
2017-01-08 02:00:00+00:00,,-0.578,,,,,
2017-01-08 03:00:00+00:00,,-0.652,,,,,
2017-01-08 04:00:00+00:00,,-0.629,,,,,
2017-01-08 05:00:00+00:00,,-0.547,,,,,
2017-01-08 06:00:00+00:00,,-0.45,,,,,
2017-01-08 07:00:00+00:00,,-0.291,,,,,
2017-01-08 08:00:00+00:00,,-0.161,,,,,
2017-01-08 09:00:00+00:00,,-0.043,,,,,
2017-01-08 10:00:00+00:00,,0.016,,,,,
2017-01-08 11:00:00+00:00,,0.0,,,,,
2017-01-08 12:00:00+00:00,,-0.087,,,,,
2017-01-08 13:00:00+00:00,,-0.248,,,,,
2017-01-08 14:00:00+00:00,,-0.396,,,,,
2017-01-08 15:00:00+00:00,,-0.49,,,,,
2017-01-08 16:00:00+00:00,,-0.494,,,,,
2017-01-08 17:00:00+00:00,,-0.452,,,,,
2017-01-08 18:00:00+00:00,,-0.33,,,,,
2017-01-08 19:00:00+00:00,,-0.171,,,,,
2017-01-08 20:00:00+00:00,,-0.022,,,,,
2017-01-08 21:00:00+00:00,,0.078,,,,,
2017-01-08 22:00:00+00:00,,0.17,,,,,
2017-01-08 23:00:00+00:00,,0.151,,,,,
2017-01-09 00:00:00+00:00,,-0.005,,,,,
2017-01-09 01:00:00+00:00,,-0.165,,,,,
2017-01-09 02:00:00+00:00,,-0.328,,,,,
2017-01-09 03:00:00+00:00,,-0.431,,,,,
2017-01-09 04:00:00+00:00,,-0.523,,,,,
2017-01-09 05:00:00+00:00,,-0.535,,,,,
2017-01-09 06:00:00+00:00,,-0.455,,,,,
2017-01-09 07:00:00+00:00,,-0.291,,,,,
2017-01-09 08:00:00+00:00,,-0.123,,,,,
2017-01-09 09:00:00+00:00,,0.038,,,,,
2017-01-09 10:00:00+00:00,,0.162,,,,,
2017-01-09 11:00:00+00:00,,0.223,,,,,
2017-01-09 12:00:00+00:00,,0.147,,,,,
2017-01-09 13:00:00+00:00,,-0.029,,,,,
2017-01-09 14:00:00+00:00,,-0.178,,,,,
2017-01-09 15:00:00+00:00,,-0.335,,,,,
2017-01-09 16:00:00+00:00,,-0.445,,,,,
2017-01-09 17:00:00+00:00,,-0.493,,,,,
2017-01-09 18:00:00+00:00,,-0.46,,,,,
2017-01-09 19:00:00+00:00,,-0.356,,,,,
2017-01-09 20:00:00+00:00,,-0.201,,,,,
2017-01-09 21:00:00+00:00,,-0.063,,,,,
2017-01-09 22:00:00+00:00,,0.06,,,,,
2017-01-09 23:00:00+00:00,,0.138,,,,,
2017-01-10 00:00:00+00:00,,0.123,,,,,
2017-01-10 01:00:00+00:00,,-0.031,,,,,
2017-01-10 02:00:00+00:00,,-0.214,,,,,
2017-01-10 03:00:00+00:00,,-0.375,,,,,
2017-01-10 04:00:00+00:00,,-0.512,,,,,
2017-01-10 05:00:00+00:00,,-0.587,,,,,
2017-01-10 06:00:00+00:00,,-0.578,,,,,
2017-01-10 07:00:00+00:00,,-0.471,,,,,
2017-01-10 08:00:00+00:00,,-0.284,,,,,
2017-01-10 09:00:00+00:00,,-0.122,,,,,
2017-01-10 10:00:00+00:00,,0.055,,,,,
2017-01-10 11:00:00+00:00,,0.198,,,,,
2017-01-10 12:00:00+00:00,,0.271,,,,,
2017-01-10 13:00:00+00:00,,0.225,,,,,
2017-01-10 14:00:00+00:00,,0.056,,,,,
2017-01-10 15:00:00+00:00,,-0.112,,,,,
2017-01-10 16:00:00+00:00,,-0.252,,,,,
2017-01-10 17:00:00+00:00,,-0.373,,,,,
2017-01-10 18:00:00+00:00,,-0.429,,,,,
2017-01-10 19:00:00+00:00,,-0.383,,,,,
2017-01-10 20:00:00+00:00,,-0.266,,,,,
2017-01-10 21:00:00+00:00,,-0.091,,,,,
2017-01-10 22:00:00+00:00,,0.077,,,,,
2017-01-10 23:00:00+00:00,,0.239,,,,,
2017-01-11 00:00:00+00:00,,0.322,,,,,
2017-01-11 01:00:00+00:00,,0.263,,,,,
2017-01-11 02:00:00+00:00,,0.095,,,,,
2017-01-11 03:00:00+00:00,,-0.092,,,,,
2017-01-11 04:00:00+00:00,,-0.259,,,,,
